title,id,access_hash,username,megagroup
Kripto Donanım - Sohbet,-1002251019196,4245425109704046861,PRIVATE,True
"KRİPTO KAMPI - ÜCRETSİZ İŞLEM""",-1001516428896,-2838092495971901218,@kriptokampiislem,False
Kripto Delisi | VİP 💰,-1002001037199,-4444482558090029965,PRIVATE,False
KRiPTO🎩SiHiRBAZI🥢🎩,-1001481478397,-3988485552159764755,@vadelisihirbazlar,False
Crypto Neon,-1001370457350,-6886740826745605065,@neonscalp,False
️Binance Price Change 1m %1+,-1001500918158,5677662365750359183,@bfpca1m1p,False
TRADER ARMY,-1002222900732,-17237704970748110,@ekinyzbbarmy,True
Academy Chat,-1002379789961,-7470376423612151241,PRIVATE,True
MAX WİN TEŞKİLATI (Açık Siteler)🎰,-1002197997017,4224874074522344707,PRIVATE,False
Coin Mühendisi (Topluluk),-1001274333834,-3018022468085422274,@Coinmuhendisi,True
Kripto Simpsons,-1002422904239,-4461114705508150243,@kriptosimpsons,False
⚡️Binance RSI Alerts,-1001546058698,6923391626889437350,@BinanceRSIAlerts,False
KING CRYPTO ️,-1001164308989,-4360488184982253704,PRIVATE,False
CoinMuhendisi Haber Sohbet,-1002096240199,7507393446436134019,@cmhabersohbet,True
Coin Chief,-1001520053536,2079955857879005025,PRIVATE,False
Binance Futures Türkiye,-1001285981724,-1356684132409073643,@BinanceFuturesTR,True
KriptoTest,-1003116649926,-7524614050761115461,@kriptotestmz,False
Crypto Devil® [ Private 🔒 ],-1001598691683,-1793475075010516106,PRIVATE,False
Crypto Bulls®,-1001700533698,9132578740877448842,PRIVATE,False
CryptoWaves.App 🚨 RSI Alerts [Promocode CW25OFF],-1001582007776,-4582826899328884758,@cryptowavesapp,False
𝗝𝗨𝗦𝗧 𝗣𝗥𝗢𝗙𝗜𝗧 - ₿,-1001338293070,-7908424155181752246,@The_JustProfitOfficial,False
Green Rock Signal™,-1001669911123,8044402798674256432,PRIVATE,False
Coin Mühendisi Haber,-1001139555501,445369791166603397,@coinmuhendisihaber,False
AmgAilesi,-1001350984056,1080926812309962654,@AmgAilesiyiz,True
AMGAİLESİ İLE KAZAN,-1002082569106,1546896709125923216,PRIVATE,False
Crypto Knights,-1001535515441,7847305038614137531,PRIVATE,False
Crypto Signals ©,-1001274095237,2515874879950114167,@whalescryptovip,False
TrippaTrading | AI trading bot,-1001956036631,-5504713921108690011,@trippaforex,False
Kripto Star,-1002293653904,5806512400524787255,@kriptostarr,False
Binance 360,-1001553551852,-30418819224307512,@binance_360,False
Aster Futures Türkiye,-1002152008507,7683315873500496308,@AsterDexTR,True
📊 Kripto Levent Haber 📊,-1001780289300,-5898722606525548731,@kriptozero,False
Crypto Bulls® | Profit Calls,-1001875926386,7680489303390677568,PRIVATE,False
Crypto Four,-1002415283375,8479986686383374761,@cryptofourr,False
Wolfx Signals,-1001365880004,1014895542622607198,@wolfxsignals_freegroup,False
KRİPTO CAPRİS⚡,-1001168910002,3977723152216047399,@kriptocapris,False
A.R.S. Crypto Calls™,-1001486981201,-6252105563787212963,PRIVATE,False
Deep Web Kripto & Global Piyasalar,-1002388163345,-2966769358426278817,PRIVATE,True
Binance Team® - By Jhonny,-1001519589508,2014833081345763887,PRIVATE,False
NF Haber,-1001669832507,-6453697457152093181,@nfhaber,False
Whales Signals 🚀 ANTI,-1001306718576,3862551845413654908,PRIVATE,False
TRADING RUSH,-1001796944674,1188824411679867025,@Trading1444,False
PROFIT HACKER,-1001303328644,-7317199009034616573,@FreeGoldSignals166,False
Prime Trading Signals ®,-1002016483246,6371029950632623659,@primetradingsignels,False
Amiral Trade,-1001898234864,-2479239298614557030,PRIVATE,False
